1000000.0	2.57698980616	 8537.05104683
1389495.49437	4.91754919782	 8534.4988436
1930697.72888	9.16526448312	 8532.88631411
2682695.79528	13.7619814603	 8531.1405798
3727593.72031	18.7199388586	 8530.348476
5179474.67923	25.4438054652	 8529.21336088
7196856.73001	34.9363013108	 8528.11144444
10000000.0	47.5145335047	 8528.24935486
13894954.9437	66.9948658949	 8528.91448183
19306977.2888	94.479692772	 8533.4521797
26826957.9528	140.960250958	 8539.89842637
37275937.2031	203.93422459	 8546.53106477
51794746.7923	295.058329426	 8545.73872965
71968567.3001	417.909431179	 8533.75105927
100000000.0	586.456746444	 8510.53146104
138949549.437	816.819704689	 8466.77541907
193069772.888	1126.42699454	 8386.57304006
268269579.528	1528.5505887	 8245.4952544
372759372.031	2025.18314689	 8018.42407798
517947467.923	2614.96586947	 7705.82694326
719685673.001	3372.24525511	 7354.67529978
1000000000.0	4650.27260886	 6891.05426069
