1000000.0	2.32849263093	 8783.08077216
1389495.49437	4.53930223893	 8780.93046625
1930697.72888	8.61786075318	 8779.76156644
2682695.79528	13.2120562022	 8778.59410213
3727593.72031	18.3725691592	 8778.53733146
5179474.67923	25.6235481479	 8778.44051168
7196856.73001	36.1545023656	 8778.75112444
10000000.0	50.6204585402	 8780.87038992
13894954.9437	73.3652346608	 8784.08287705
19306977.2888	106.739235541	 8792.11463861
26826957.9528	163.494052332	 8801.13848231
37275937.2031	242.639379076	 8809.99968402
51794746.7923	355.19389797	 8807.29155369
71968567.3001	503.102672525	 8789.90946165
100000000.0	704.016267696	 8754.27385872
138949549.437	973.351927332	 8684.79274021
193069772.888	1322.37632584	 8556.88400031
268269579.528	1747.56046872	 8342.34248398
372759372.031	2228.96430958	 8032.03290768
517947467.923	2770.70253711	 7666.04273741
719685673.001	3507.36829607	 7294.36741087
1000000000.0	4791.26285858	 6717.83978468
