1000000.0	2.32849263093	 8782.95893645
1389495.49437	4.53930223893	 8780.80863054
1930697.72888	8.61786075318	 8779.63973072
2682695.79528	13.2120562022	 8778.47226641
3727593.72031	18.3725691592	 8778.41549574
5179474.67923	25.6235481479	 8778.31867596
7196856.73001	36.1545023656	 8778.62928872
10000000.0	50.6204585402	 8780.74855421
13894954.9437	73.3652346608	 8783.96104134
19306977.2888	106.739235541	 8791.99280289
26826957.9528	163.494052332	 8801.01664659
37275937.2031	242.639379076	 8809.8778483
51794746.7923	355.19389797	 8807.16971797
71968567.3001	503.102672525	 8789.78762594
100000000.0	704.016267696	 8754.152023
138949549.437	973.351927332	 8684.67090449
193069772.888	1322.37632584	 8556.76216459
268269579.528	1747.56046872	 8342.22064826
372759372.031	2228.96430958	 8031.91107196
517947467.923	2770.70253711	 7665.9209017
719685673.001	3507.36829607	 7294.24557516
1000000000.0	4791.26285858	 6717.71794897
