1000000.0	2.57698980616	 8537.17288255
1389495.49437	4.91754919782	 8534.62067931
1930697.72888	9.16526448312	 8533.00814982
2682695.79528	13.7619814603	 8531.26241552
3727593.72031	18.7199388586	 8530.47031172
5179474.67923	25.4438054652	 8529.3351966
7196856.73001	34.9363013108	 8528.23328015
10000000.0	47.5145335047	 8528.37119057
13894954.9437	66.9948658949	 8529.03631754
19306977.2888	94.479692772	 8533.57401541
26826957.9528	140.960250958	 8540.02026208
37275937.2031	203.93422459	 8546.65290048
51794746.7923	295.058329426	 8545.86056536
71968567.3001	417.909431179	 8533.87289499
100000000.0	586.456746444	 8510.65329676
138949549.437	816.819704689	 8466.89725479
193069772.888	1126.42699454	 8386.69487577
268269579.528	1528.5505887	 8245.61709011
372759372.031	2025.18314689	 8018.5459137
517947467.923	2614.96586947	 7705.94877898
719685673.001	3372.24525511	 7354.79713548
1000000000.0	4650.27260886	 6891.17609639
